PERMNO,date,TICKER,HSICMG,BIDLO,ASKHI,PRC,VOL,OPENPRC,sprtrn
84398,01/03/2000,SPY,,143.87500,148.25000,145.43750,8164299,148.25000,-0.009549
84398,01/04/2000,SPY,,139.64063,144.06250,139.75000,8089799,143.53125,-0.038345
84398,01/05/2000,SPY,,137.25000,141.53125,140.00000,12177899,139.93750,0.001922
84398,01/06/2000,SPY,,137.75000,141.50000,137.75000,6227199,139.62500,0.000956
84398,01/07/2000,SPY,,140.06250,145.75000,145.75000,8066599,140.31250,0.027090
84398,01/10/2000,SPY,,145.03125,146.90625,146.25000,5741599,146.25000,0.011190
84398,01/11/2000,SPY,,143.50000,146.09375,144.31250,7433699,145.81250,-0.013063
84398,01/12/2000,SPY,,142.87500,144.59375,143.06250,6911699,144.59375,-0.004386
84398,01/13/2000,SPY,,143.28125,145.75000,145.00000,5158299,144.46875,0.012170
84398,01/14/2000,SPY,,145.96875,147.46875,146.96875,7437299,146.53125,0.010671
84398,01/18/2000,SPY,,145.18750,146.62500,145.81250,6488500,145.34375,-0.006832
84398,01/19/2000,SPY,,145.00000,146.46875,146.25000,6152899,145.31250,0.000522
84398,01/20/2000,SPY,,143.81250,146.96875,144.75000,5800099,146.96875,-0.007095
84398,01/21/2000,SPY,,144.06250,145.50000,144.43750,6244799,145.50000,-0.002912
84398,01/24/2000,SPY,,139.40625,145.84375,140.34375,7896899,145.65625,-0.027634
84398,01/25/2000,SPY,,139.00000,141.93750,141.93750,9942500,140.51563,0.006065
84398,01/26/2000,SPY,,140.09375,141.54688,140.81250,5158099,141.00000,-0.004213
84398,01/27/2000,SPY,,138.12500,142.21875,140.25000,10919899,141.84375,-0.003938
84398,01/28/2000,SPY,,135.53125,140.06250,135.87500,11916199,139.43750,-0.027457
84398,01/31/2000,SPY,,135.00000,139.67188,139.62500,10768601,135.81250,0.025218
84398,02/01/2000,SPY,,138.53125,141.68750,140.93750,8419799,139.75000,0.010628
84398,02/02/2000,SPY,,140.37500,142.25000,141.06250,6205899,141.28125,-0.000114
84398,02/03/2000,SPY,,140.00000,143.25000,143.18750,7997500,140.87500,0.011248
84398,02/04/2000,SPY,,142.12500,144.00000,142.59375,4925399,143.18750,-0.000421
84398,02/07/2000,SPY,,141.43750,142.78125,142.37500,5845799,142.56250,-0.000091
84398,02/08/2000,SPY,,143.62500,144.56250,144.31250,4936500,143.96875,0.012273
84398,02/09/2000,SPY,,141.26563,144.46875,141.28125,8511500,144.46875,-0.020822
84398,02/10/2000,SPY,,140.87500,142.56250,141.56250,6690599,141.62500,0.003634
84398,02/11/2000,SPY,,138.03125,141.93750,138.68750,9849199,141.84375,-0.020969
84398,02/14/2000,SPY,,138.31250,139.78125,139.50000,8528799,139.78125,0.002033
84398,02/15/2000,SPY,,137.79688,141.21875,141.09375,11078299,139.25000,0.008713
84398,02/16/2000,SPY,,138.79688,140.93750,139.18750,8845399,140.37500,-0.010256
84398,02/17/2000,SPY,,138.21875,140.43750,138.28125,7584199,140.43750,0.000425
84398,02/18/2000,SPY,,134.62500,138.87500,135.31250,9650899,138.87500,-0.030376
84398,02/22/2000,SPY,,133.53125,136.34375,134.96875,16415399,135.18750,0.004517
84398,02/23/2000,SPY,,134.50000,137.46875,136.56250,12119000,135.62500,0.006301
84398,02/24/2000,SPY,,133.09375,137.03125,133.81250,17374992,136.68750,-0.005336
84398,02/25/2000,SPY,,133.12500,136.71875,133.32813,10559899,135.18750,-0.014829
84398,02/28/2000,SPY,,132.71875,136.68750,136.12500,13397799,133.37500,0.011017
84398,02/29/2000,SPY,,135.75000,137.43750,137.43750,8242500,136.06250,0.013627
84398,03/01/2000,SPY,,137.21875,139.00000,138.43750,6866000,137.62500,0.009346
84398,03/02/2000,SPY,,137.34375,139.12500,138.53125,7600199,138.68750,0.001863
84398,03/03/2000,SPY,,139.71875,141.71875,141.12500,12770299,140.43750,0.019837
84398,03/06/2000,SPY,,138.75000,141.34375,139.81250,11966899,140.81250,-0.012695
84398,03/07/2000,SPY,,135.21875,140.15625,137.04688,20061792,140.00000,-0.025631
84398,03/08/2000,SPY,,135.03125,137.84375,136.87500,11808399,136.46875,0.008173
84398,03/09/2000,SPY,,136.12500,140.87500,140.87500,5500899,137.25000,0.025602
84398,03/10/2000,SPY,,139.53125,142.00000,140.18750,7924500,140.18750,-0.004723
84398,03/13/2000,SPY,,136.50000,140.46875,138.59375,10540399,136.68750,-0.008207
84398,03/14/2000,SPY,,136.15625,140.09375,136.62500,8263699,139.28125,-0.017685
84398,03/15/2000,SPY,,136.06250,140.43750,139.81250,10300799,136.87500,0.024280
84398,03/16/2000,SPY,,140.87500,146.84375,146.34375,25601392,141.62500,0.047639
84398,03/17/2000,SPY,,145.43750,148.00000,146.93750,10272899,145.81250,0.004114
84398,03/20/2000,SPY,,144.78125,147.34375,146.78125,12502099,146.87500,-0.005353
84398,03/21/2000,SPY,,144.50000,149.75000,149.18750,13612799,145.53125,0.025566
84398,03/22/2000,SPY,,148.68750,150.84375,150.09375,8259799,149.56250,0.004532
84398,03/23/2000,SPY,,149.15625,153.46875,152.50000,11653899,149.15625,0.017799
84398,03/24/2000,SPY,,151.71875,155.75000,153.56250,11462899,152.87500,0.000072
84398,03/27/2000,SPY,,151.81250,153.78125,151.93750,8798599,153.37500,-0.002357
84398,03/28/2000,SPY,,150.59375,152.98438,151.06250,6334299,151.25000,-0.010585
84398,03/29/2000,SPY,,149.65625,152.48438,151.21875,6747500,151.56250,0.000524
84398,03/30/2000,SPY,,147.12500,151.92188,148.68750,9491899,150.15625,-0.013656
84398,03/31/2000,SPY,,148.43750,152.31250,150.37500,9249101,149.62500,0.007164
84398,04/03/2000,SPY,,148.68750,151.25000,151.25000,8508199,150.12500,0.004931
84398,04/04/2000,SPY,,141.39063,153.00000,145.75000,21056384,151.75000,-0.007464
84398,04/05/2000,SPY,,147.62500,150.81250,149.18750,8227899,147.87500,-0.004924
84398,04/06/2000,SPY,,149.00000,151.68750,150.48438,6378500,150.25000,0.009392
84398,04/07/2000,SPY,,150.50000,152.12500,151.43750,6023599,151.56250,0.009998
84398,04/10/2000,SPY,,150.31250,153.10938,150.84375,9624199,151.75000,-0.007841
