date,Mkt-RF,SMB,HML,RMW,CMA,RF
20060103,1.5,-0.14,0.18,0.18,-0.32,0.017
20060104,0.46,0.31,0.03,-0.44,0.33,0.017
20060105,0.03,0.23,-0.1,-0.55,0.19,0.017
20060106,0.92,0.09,-0.24,-0.03,0.14,0.017
20060109,0.45,0.51,-0.16,0.06,-0.04,0.017
20060110,0.05,0.6,0.02,-0.14,-0.09,0.017
20060111,0.28,-0.27,-0.12,-0.36,0.18,0.017
20060112,-0.65,0.08,0.01,-0.14,0.07,0.017
20060113,0.17,0.16,0.1,0.02,-0.03,0.017
20060117,-0.4,-0.24,0.21,0.43,-0.28,0.017
20060118,-0.35,0.4,0.29,-0.32,0.2,0.017
20060119,0.63,0.96,-0.11,0.05,0.12,0.017
20060120,-1.8,0.49,0.5,0.36,0.27,0.017
20060123,0.18,0.28,0.43,0.33,-0.2,0.017
20060124,0.44,1.03,0.06,-0.08,-0.04,0.017
20060125,-0.22,-0.04,-0.1,-0.08,-0.09,0.017
20060126,0.79,0.85,0.01,0.03,-0.04,0.017
20060127,0.67,-0.19,-0.17,0.08,-0.31,0.017
20060130,0.1,-0.2,0.23,0.13,-0.05,0.017
20060131,-0.21,0.57,-0.02,-0.07,-0.38,0.017
20060201,0.14,0.08,-0.02,-0.37,0.41,0.018
20060202,-0.88,-0.24,-0.07,0.21,0.01,0.018
20060203,-0.51,0.25,0.02,-0.02,-0.02,0.018
20060206,0.1,0.41,0.52,0.35,0.01,0.018
20060207,-0.92,-0.56,-0.23,-0.43,0.4,0.018
20060208,0.77,-0.33,-0.1,-0.18,0.4,0.018
20060209,-0.19,-0.2,-0.27,-0.05,0.31,0.018
20060210,0.15,-0.38,-0.02,0.01,0.07,0.018
20060213,-0.47,-0.49,0.18,0.04,0.16,0.018
20060214,1.01,0.22,-0.11,-0.09,-0.04,0.018
20060215,0.41,0.34,-0.49,-0.05,-0.05,0.018
20060216,0.75,0.11,0.19,0.11,0.09,0.018
20060217,-0.16,0.03,0.33,0.08,0.17,0.018
20060221,-0.38,-0.13,0.11,0.56,-0.26,0.018
20060222,0.73,0.01,-0.09,-0.32,-0.17,0.018
20060223,-0.29,0.18,-0.25,0.02,0.08,0.018
20060224,0.19,0.36,0.18,-0.06,-0.01,0.018
20060227,0.4,0.11,-0.33,-0.39,0.32,0.018
20060228,-1.1,-0.18,0.1,0.07,0.13,0.018
20060301,0.9,0.61,-0.02,-0.34,0.36,0.016
20060302,-0.16,-0.04,0.09,0,0.04,0.016
20060303,-0.15,-0.01,-0.04,0.13,0.01,0.016
20060306,-0.75,-0.28,-0.11,-0.19,0.01,0.016
20060307,-0.4,-1.08,0.07,-0.02,-0.22,0.016
20060308,0.14,-0.08,0.04,0.03,-0.04,0.016
20060309,-0.51,0.04,0.29,0.07,0.13,0.016
20060310,0.69,0.41,0.05,0.24,0.09,0.016
20060313,0.24,0.03,0.14,0.06,-0.11,0.016
20060314,1,0.03,0.02,0.11,-0.22,0.016
20060315,0.48,0.36,0.14,-0.18,0.36,0.016
20060316,0.11,-0.12,0.27,0.25,0.06,0.016
20060317,0.18,0.07,-0.3,-0.08,0.01,0.016
20060320,-0.07,0.09,-0.3,-0.33,-0.13,0.016
20060321,-0.69,-0.48,-0.05,0.37,-0.15,0.016
20060322,0.62,0.52,0.05,0.39,-0.15,0.016
20060323,-0.18,0.59,0,0.3,-0.01,0.016
20060324,0.22,0.67,0.21,-0.15,-0.12,0.016
20060327,-0.07,0.17,0.26,0.12,-0.04,0.016
20060328,-0.61,0.27,-0.06,0.13,-0.12,0.016
20060329,0.87,0.79,0.07,-0.27,0.17,0.016
20060330,-0.16,0.09,-0.22,-0.33,-0.22,0.016
20060331,-0.23,0.7,-0.05,-0.22,-0.04,0.016
20060403,0.07,-0.83,0.66,0.22,0.21,0.019
20060404,0.54,-0.22,0.07,0.2,-0.28,0.019
20060405,0.42,0.04,0.28,0.03,0.05,0.019
20060406,-0.15,0.17,0.04,-0.16,-0.14,0.019
20060407,-1.02,-0.14,-0.13,0.05,0.05,0.019
20060410,-0.02,-0.35,0.08,0.64,-0.15,0.019
20060411,-0.83,-0.66,0.01,0.25,-0.11,0.019
20060412,0.19,0.6,-0.05,-0.2,0.14,0.019
20060413,0.12,0.35,-0.14,-0.24,0.21,0.019
20060417,-0.28,0.1,0.26,0.63,-0.26,0.019
20060418,1.71,0.7,0.05,0.1,0.03,0.019
20060419,0.33,0.9,-0.02,0,-0.35,0.019
20060420,0.01,-0.47,0.05,0.05,0.36,0.019
20060421,-0.1,-0.13,0.21,0.37,-0.2,0.019
20060424,-0.3,-0.47,0.03,-0.28,-0.13,0.019
20060425,-0.44,0.38,-0.01,-0.04,0.24,0.019
20060426,0.2,-0.15,0.31,-0.23,0.06,0.019
20060427,0.24,-0.94,0.1,-0.29,0.31,0.019
20060428,0.05,0.35,0.48,0.67,-0.18,0.019
20060501,-0.41,0.01,0.35,0.05,0.13,0.02
20060502,0.54,0.25,0.51,0.34,0.18,0.02
20060503,-0.31,0.39,0.05,-0.07,0.19,0.02
20060504,0.37,0.54,-0.29,-0.13,0.13,0.02
20060505,1.04,-0.26,-0.02,0.13,-0.07,0.02
20060508,-0.05,0.04,0.09,0.07,0.16,0.02
20060509,-0.01,-0.14,0.18,0.09,-0.06,0.02
20060510,-0.2,-0.5,0.48,0.13,-0.22,0.02
