DATE,T10YIE
12/10/2009,2.09
12/11/2009,2.14
12/14/2009,2.19
12/15/2009,2.23
12/16/2009,2.27
12/17/2009,2.22
12/18/2009,2.24
12/21/2009,2.3
12/22/2009,2.33
12/23/2009,2.31
12/24/2009,2.32
12/25/2009,.
12/28/2009,2.35
12/29/2009,2.36
12/30/2009,2.36
12/31/2009,2.37
1/1/2010,.
1/4/2010,2.38
1/5/2010,2.34
1/6/2010,2.37
1/7/2010,2.41
1/8/2010,2.42
1/11/2010,2.38
1/12/2010,2.39
1/13/2010,2.37
1/14/2010,2.36
1/15/2010,2.36
1/18/2010,.
1/19/2010,2.38
1/20/2010,2.37
1/21/2010,2.33
1/22/2010,2.31
1/25/2010,2.33
1/26/2010,2.34
1/27/2010,2.31
1/28/2010,2.33
1/29/2010,2.33
2/1/2010,2.39
2/2/2010,2.41
2/3/2010,2.43
2/4/2010,2.35
2/5/2010,2.27
2/8/2010,2.27
2/9/2010,2.3
2/10/2010,2.28
2/11/2010,2.26
2/12/2010,2.23
2/15/2010,.
2/16/2010,2.24
2/17/2010,2.28
2/18/2010,2.31
2/19/2010,2.26
2/22/2010,2.25
2/23/2010,2.19
2/24/2010,2.19
2/25/2010,2.13
2/26/2010,2.13
3/1/2010,2.15
3/2/2010,2.16
3/3/2010,2.17
3/4/2010,2.17
3/5/2010,2.21
3/8/2010,2.23
3/9/2010,2.23
3/10/2010,2.24
3/11/2010,2.24
3/12/2010,2.26
3/15/2010,2.25
3/16/2010,2.24
3/17/2010,2.25
3/18/2010,2.23
3/19/2010,2.2
3/22/2010,2.19
3/23/2010,2.2
3/24/2010,2.24
3/25/2010,2.26
3/26/2010,2.24
3/29/2010,2.22
3/30/2010,2.22
3/31/2010,2.24
4/1/2010,2.28
4/2/2010,2.27
4/5/2010,2.31
4/6/2010,2.3
4/7/2010,2.34
4/8/2010,2.33
4/9/2010,2.34
4/12/2010,2.35
4/13/2010,2.34
4/14/2010,2.34
4/15/2010,2.37
4/16/2010,2.33
4/19/2010,2.34
4/20/2010,2.35
4/21/2010,2.35
4/22/2010,2.34
4/23/2010,2.37
4/26/2010,2.37
4/27/2010,2.34
4/28/2010,2.4
4/29/2010,2.45
4/30/2010,2.4
5/3/2010,2.4
5/4/2010,2.32
5/5/2010,2.28
5/6/2010,2.16
5/7/2010,2.15
5/10/2010,2.24
5/11/2010,2.25
5/12/2010,2.28
5/13/2010,2.27
5/14/2010,2.18
5/17/2010,2.16
5/18/2010,2.13
5/19/2010,2.04
5/20/2010,1.89
5/21/2010,1.87
5/24/2010,1.88
5/25/2010,1.85
5/26/2010,1.91
5/27/2010,2.01
5/28/2010,1.99
5/31/2010,.
6/1/2010,1.97
6/2/2010,1.99
6/3/2010,2.05
6/4/2010,1.94
6/7/2010,1.92
6/8/2010,1.89
6/9/2010,1.92
6/10/2010,1.98
6/11/2010,1.95
6/14/2010,1.97
6/15/2010,2
6/16/2010,1.99
6/17/2010,1.99
6/18/2010,1.99
6/21/2010,2.02
6/22/2010,1.98
6/23/2010,1.94
6/24/2010,1.91
6/25/2010,1.91
6/28/2010,1.88
6/29/2010,1.83
6/30/2010,1.82
7/1/2010,1.75
7/2/2010,1.73
7/5/2010,.
7/6/2010,1.69
7/7/2010,1.7
7/8/2010,1.79
7/9/2010,1.81
7/12/2010,1.82
7/13/2010,1.87
7/14/2010,1.84
7/15/2010,1.79
7/16/2010,1.71
7/19/2010,1.7
7/20/2010,1.7
7/21/2010,1.71
7/22/2010,1.75
7/23/2010,1.78
7/26/2010,1.79
7/27/2010,1.82
7/28/2010,1.81
7/29/2010,1.82
7/30/2010,1.8
8/2/2010,1.86
8/3/2010,1.87
8/4/2010,1.86
8/5/2010,1.87
8/6/2010,1.82
8/9/2010,1.82
8/10/2010,1.84
8/11/2010,1.77
8/12/2010,1.69
8/13/2010,1.68
8/16/2010,1.63
8/17/2010,1.63
8/18/2010,1.62
8/19/2010,1.56
8/20/2010,1.57
8/23/2010,1.55
8/24/2010,1.49
8/25/2010,1.53
8/26/2010,1.55
8/27/2010,1.61
8/30/2010,1.55
8/31/2010,1.52
9/1/2010,1.56
9/2/2010,1.58
9/3/2010,1.62
9/6/2010,.
9/7/2010,1.63
9/8/2010,1.64
9/9/2010,1.72
9/10/2010,1.79
9/13/2010,1.8
9/14/2010,1.75
9/15/2010,1.77
9/16/2010,1.77
9/17/2010,1.75
9/20/2010,1.78
9/21/2010,1.83
9/22/2010,1.82
9/23/2010,1.79
9/24/2010,1.81
9/27/2010,1.75
9/28/2010,1.79
9/29/2010,1.78
9/30/2010,1.78
10/1/2010,1.79
10/4/2010,1.78
10/5/2010,1.85
10/6/2010,1.89
10/7/2010,1.88
10/8/2010,1.96
10/11/2010,.
10/12/2010,1.95
10/13/2010,2.02
10/14/2010,2.11
10/15/2010,2.09
10/18/2010,2.05
10/19/2010,2.06
10/20/2010,2.04
10/21/2010,2.07
10/22/2010,2.09
10/25/2010,2.14
10/26/2010,2.15
10/27/2010,2.13
10/28/2010,2.12
10/29/2010,2.13
11/1/2010,2.17
11/2/2010,2.14
11/3/2010,2.17
11/4/2010,2.09
11/5/2010,2.1
11/8/2010,2.12
11/9/2010,2.14
11/10/2010,2.09
11/11/2010,.
11/12/2010,2.05
11/15/2010,2.05
11/16/2010,1.98
11/17/2010,2.05
11/18/2010,2.07
11/19/2010,2.11
11/22/2010,2.1
11/23/2010,2.08
11/24/2010,2.13
11/25/2010,.
11/26/2010,2.12
11/29/2010,2.11
11/30/2010,2.07
